Movie,LeadStudio,Genre,RottenTomatoes,AudienceScore,WorldGross,Budget,Year,Ganancia,Exitosa
Surrogates,Buena Vista,Action,39.0,42.0,122.43,80.0,2009,42.43000000000001,False
Ninja Assassin,Warner Bros,Action,25.0,57.0,61.59,50.0,2009,11.590000000000003,False
Invictus,Warner Bros,Biography,75.0,74.0,122.23,60.0,2009,62.230000000000004,True
State of Play,Universal,Crime,84.0,71.0,88.3,60.0,2009,28.299999999999997,True
Notorious,Fox,Biography,50.0,66.0,44.36,20.0,2009,24.36,False
The Pink Panther 2,Sony,Adventure,12.0,47.0,75.94,59.0,2009,16.939999999999998,False
All About Steve,Fox,Comedy,6.0,35.0,40.12,15.0,2009,25.119999999999997,False
Halloween II,Independent,Horror,20.0,45.0,39.41,15.0,2009,24.409999999999997,False
The Informant!,Warner Bros,Comedy,78.0,42.0,41.76,22.0,2009,19.759999999999998,True
The Men Who Stare at Goats,Independent,Comedy,52.0,43.0,68.94,25.0,2009,43.94,False
(500) Days of Summer,Fox,Comedy,87.0,81.0,60.72,7.5,2009,53.22,True
Push,Summit,Action,22.0,47.0,48.85,38.0,2009,10.850000000000001,False
9,Focus,Animation,57.0,58.0,48.41,30.0,2009,18.409999999999997,False
The Soloist,Paramount,Drama,56.0,59.0,38.31,60.0,2009,-21.689999999999998,False
Did You Hear About the Morgans?,Sony,Comedy,12.0,31.0,85.28,58.0,2009,27.28,False
The Stepfather,Sony,Mystery,12.0,48.0,31.2,20.0,2009,11.2,False
Brothers,Lionsgate,Drama,61.0,62.0,43.27,26.0,2009,17.270000000000003,True
Saw VI,Independent,Horror,40.0,67.0,68.19,11.0,2009,57.19,False
Dance Flick,Paramount,Action,17.0,35.0,31.43,25.0,2009,6.43,False
The Fourth Kind,Universal,Mystery,18.0,44.0,47.7,10.0,2009,37.7,False
The International,Sony,Action,58.0,39.0,60.1,50.0,2009,10.100000000000001,False
Aliens in the Attic,Fox,Adventure,30.0,46.0,57.88,45.0,2009,12.880000000000003,False
Observe and Report,Warner Bros,Comedy,51.0,40.0,26.96,18.0,2009,8.96,False
Love Happens,Universal,Drama,18.0,40.0,36.08,18.0,2009,18.08,False
Fame,MGM,Comedy,25.0,43.0,77.21,18.0,2009,59.209999999999994,False
Fantastic Mr. Fox,Fox,Animation,93.0,80.0,46.46,40.0,2009,6.460000000000001,True
Gamer,Lionsgate,Action,29.0,43.0,40.82,12.5,2009,28.32,False
Nine,Weinstein,Drama,37.0,40.0,53.99,80.0,2009,-26.009999999999998,False
Astro Boy,Summit,Animation,49.0,53.0,39.89,65.0,2009,-25.11,False
The Invention of Lying,Warner Bros,Comedy,56.0,47.0,32.4,18.5,2009,13.899999999999999,False
Inkheart,Warner Bros,Adventure,39.0,51.0,62.44,60.0,2009,2.4399999999999977,False
Fired Up!,Independent,Comedy,22.0,52.0,18.6,20.0,2009,-1.3999999999999986,False
The Hurt Locker,Independent,Drama,97.0,83.0,49.22,15.0,2009,34.22,True
Jennifer's Body,Fox,Comedy,42.0,37.0,31.55,16.0,2009,15.55,False
Imagine That,Paramount,Comedy,38.0,44.0,22.99,55.0,2009,-32.010000000000005,False
Adventureland,Miramax,Comedy,89.0,56.0,17.16,9.8,2009,7.359999999999999,True
Armored,Sony,Action,40.0,34.0,16.0,20.0,2009,-4.0,False
A Perfect Getaway,Universal,Mystery,61.0,50.0,22.83,14.0,2009,8.829999999999998,True
The Box,Warner Bros,Drama,46.0,27.0,33.38,30.0,2009,3.3800000000000026,False
I Love You Beth Cooper,Fox,Comedy,14.0,38.0,15.82,18.0,2009,-2.1799999999999997,False
Amelia,Independent,Adventure,21.0,35.0,19.2,40.0,2009,-20.8,False
Cirque du Freak: The Vampire's Assistant,Universal,Action,38.0,50.0,39.23,40.0,2009,-0.7700000000000031,False
Crank: High Voltage,Lionsgate,Action,62.0,54.0,34.5,12.9,2009,21.6,True
Whip It,Independent,Drama,84.0,73.0,16.0,15.0,2009,1.0,True
An Education,Sony,Drama,94.0,78.0,26.09,7.5,2009,18.59,True
12 Rounds,Fox,Action,30.0,52.0,17.28,20.0,2009,-2.719999999999999,False
Sunshine Cleaning,Independent,Comedy,72.0,59.0,16.57,5.0,2009,11.57,True
Sorority Row,Summit,Horror,22.0,38.0,27.21,12.5,2009,14.71,False
Extract,Miramax,Comedy,62.0,37.0,10.83,7.5,2009,3.33,True
Not Easily Broken,Independent,Drama,34.0,66.0,10.7,5.0,2009,5.699999999999999,False
Pandorum,Independent,Action,28.0,49.0,17.0,40.0,2009,-23.0,False
Whiteout,Warner Bros,Action,7.0,28.0,12.2,35.0,2009,-22.8,False
Next Day Air,Summit,Action,21.0,27.0,10.0,3.0,2009,7.0,False
Away We Go,Focus,Comedy,67.0,74.0,14.89,21.0,2009,-6.109999999999999,True
Dragonball Evolution,Fox,Action,15.0,28.0,58.23,30.0,2009,28.229999999999997,False
A Serious Man,Universal,Drama,89.0,64.0,31.43,7.0,2009,24.43,True
Everybody's Fine,Miramax,Drama,46.0,55.0,16.4,21.0,2009,-4.600000000000001,False
Street Fighter: The Legend of Chun-Li,Fox,Action,16.0,28.0,12.34,50.0,2009,-37.66,False
My Life in Ruins,Independent,Comedy,9.0,43.0,18.01,17.0,2009,1.0100000000000016,False
"Pirate Radio (The Boat that Rocked, UK)",Focus,Comedy,60.0,72.0,36.34,50.0,2009,-13.659999999999997,True
The Road,Weinstein,Adventure,75.0,65.0,27.63,25.0,2009,2.629999999999999,True
Taking Woodstock,Focus,Comedy,48.0,48.0,9.98,29.0,2009,-19.02,False
Post Grad,Fox,Comedy,7.0,31.0,6.38,15.0,2009,-8.620000000000001,False
Whatever Works,Independent,Comedy,50.0,63.0,35.09,15.0,2009,20.090000000000003,False
Bandslam,Summit,Comedy,79.0,60.0,12.1,20.0,2009,-7.9,True
127 Hours,Independent,Adventure,93.0,84.0,60.73,18.0,2010,42.73,True
A Nightmare on Elm Street,Warner Bros,Horror,13.0,40.0,115.67,35.0,2010,80.67,False
Alice in Wonderland,Disney,Adventure,52.0,72.0,1025.466,200.0,2010,825.4659999999999,False
All About Steve,Independent,Comedy,6.0,35.0,40.12,15.0,2010,25.119999999999997,False
Alpha and Omega,Crest,Animation,17.0,41.0,50.507,20.0,2010,30.506999999999998,False
Black Swan,Fox,Drama,88.0,86.0,329.397,13.0,2010,316.397,True
Brooklyn's Finest,Independent,Action,42.0,47.0,36.439,17.0,2010,19.439,False
Buried,Independent,Drama,86.0,63.0,19.148,2.0,2010,17.148,True
Burlesque,Paramount,Drama,36.0,66.0,89.519,55.0,2010,34.519000000000005,False
Case 39,Independent,Horror,23.0,42.0,28.19,26.0,2010,2.1900000000000013,False
Cats & Dogs: The Revenge of Kitty Galore,Independent,Action,13.0,43.0,112.49,85.0,2010,27.489999999999995,False
Charlie St. Cloud,Universal,Fantasy,27.0,62.0,48.188,44.0,2010,4.188000000000002,False
City Island,Independent,Comedy,81.0,77.0,7.874,6.0,2010,1.8739999999999997,True
Clash of the Titans,Warner Bros,Action,28.0,48.0,493.214,125.0,2010,368.214,False
Conviction,Independent,Biography,68.0,71.0,9.71,12.5,2010,-2.789999999999999,True
Cop Out,Warner Bros,Action,19.0,45.0,55.588,30.0,2010,25.588,False
Country Strong,Sony,Drama,20.0,56.0,20.528,15.0,2010,5.527999999999999,False
Cyrus,Independent,Comedy,80.0,51.0,9.92,7.0,2010,2.92,True
Date Night,Fox,Comedy,66.0,58.0,152.263,55.0,2010,97.263,True
Daybreakers,Lionsgate,Action,67.0,50.0,51.41,20.0,2010,31.409999999999997,True
Dear John,Sony,Drama,29.0,66.0,114.97,25.0,2010,89.97,False
Death at a Funeral,Independent,Comedy,40.0,48.0,49.05,21.0,2010,28.049999999999997,False
Despicable Me,Universal,Animation,81.0,81.0,543.113,69.0,2010,474.11300000000006,True
Devil,Independent,Horror,52.0,45.0,62.694,10.0,2010,52.694,False
Diary of a Wimpy Kid,Independent,Comedy,53.0,49.0,75.7,15.0,2010,60.7,False
Dinner for Schmucks,Paramount,Comedy,43.0,47.0,86.855,69.0,2010,17.855000000000004,False
Due Date,Warner Bros,Comedy,40.0,56.0,211.78,50.0,2010,161.78,False
Easy A,Sony,Comedy,85.0,75.0,74.95,8.0,2010,66.95,True
Eat Pray Love,Sony,Drama,36.0,46.0,204.59,60.0,2010,144.59,False
Edge of Darkness,Warner Bros,Crime,55.0,56.0,81.12,80.0,2010,1.1200000000000045,False
Extraordinary Measures,CBS,Drama,27.0,55.0,15.14,31.0,2010,-15.86,False
Faster,CBS,Action,41.0,50.0,35.626,24.0,2010,11.625999999999998,False
For Colored Girls,Independent,Drama,33.0,73.0,55.049,21.0,2010,34.049,False
From Paris with Love,Independent,Action,38.0,57.0,52.829,52.0,2010,0.8290000000000006,False
Furry Vengeance,Summit,Comedy,8.0,36.0,36.236,35.0,2010,1.235999999999997,False
Get Him to the Greek,Universal,Comedy,73.0,63.0,91.257,40.0,2010,51.257000000000005,True
Going the Distance,Warner Bros,Comedy,53.0,56.0,42.05,32.0,2010,10.049999999999997,False
Green Zone,Universal,Action,53.0,60.0,94.878,100.0,2010,-5.122,False
Grown Ups,Independent,Comedy,10.0,59.0,271.43,80.0,2010,191.43,False
Gulliver's Travels,Fox,Comedy,21.0,31.0,237.382,112.0,2010,125.382,False
Harry Potter and the Deathly Hallows Part 1,Warner Bros,Adventure,79.0,87.0,959.3,125.0,2010,834.3,True
Hot Tub Time Machine,MGM,Adventure,64.0,57.0,64.571,36.0,2010,28.570999999999998,True
How to Train Your Dragon,Paramount,Animation,98.0,90.0,494.88,165.0,2010,329.88,True
I Love You Phillip Morris,Independent,Comedy,71.0,57.0,20.722,15.0,2010,5.722000000000001,True
Inception,Warner Bros,Action,86.0,93.0,825.536,160.0,2010,665.536,True
Iron Man 2,Paramount,Action,74.0,80.0,623.93,200.0,2010,423.92999999999995,True
Jackass 3-D,Paramount,Documentary,63.0,72.0,171.685,20.0,2010,151.685,True
Jonah Hex,Warner Bros,Action,13.0,24.0,10.91,47.0,2010,-36.09,False
Just Wright,Fox,Comedy,45.0,58.0,21.569,12.0,2010,9.568999999999999,False
Kick-Ass,Independent,Action,76.0,83.0,96.188,30.0,2010,66.188,True
Killers,Lionsgate,Action,11.0,45.0,98.16,75.0,2010,23.159999999999997,False
Knight and Day,Fox,Action,53.0,52.0,261.927,117.0,2010,144.92700000000002,False
Leap Year,Universal,Comedy,21.0,49.0,32.608,19.0,2010,13.607999999999997,False
Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros,Animation,51.0,65.0,140.073,80.0,2010,60.07300000000001,False
Legion,Independent,Action,19.0,36.0,67.92,26.0,2010,41.92,False
Letters to Juliet,Summit,Comedy,40.0,62.0,79.179,30.0,2010,49.179,False
Life as We Know It,Independent,Comedy,28.0,62.0,53.374,52.0,2010,1.3740000000000023,False
Little Fockers,Independent,Comedy,9.0,40.0,310.649,100.0,2010,210.649,False
Love & Other Drugs,Fox,Comedy,48.0,55.0,102.802,30.0,2010,72.802,False
MacGruber,Independent,Action,47.0,33.0,9.327,10.0,2010,-0.673,False
Machete,Independent,Action,73.0,66.0,44.089,20.0,2010,24.089,True
Marmaduke,Fox,Comedy,9.0,46.0,83.757,50.0,2010,33.757000000000005,False
Megamind,Paramount,Animation,72.0,73.0,321.884,130.0,2010,191.88400000000001,True
Morning Glory,Independent,Comedy,54.0,54.0,60.039,40.0,2010,20.039,False
My Soul to Take,Relativity Media,Horror,9.0,29.0,20.971,25.0,2010,-4.029,False
Nanny McPhee Returns,Universal,Comedy,77.0,54.0,93.24,35.0,2010,58.239999999999995,True
Never Let Me Go,Independent,Drama,70.0,70.0,9.45,15.0,2010,-5.550000000000001,True
Paranormal Activity 2,Paramount,Horror,52.0,61.0,177.511,3.0,2010,174.511,False
Percy Jackson & the Olympians: The Lightning Thief,Fox,Action,50.0,57.0,226.5,95.0,2010,131.5,False
Piranha 3-D,Weinstein,Comedy,74.0,45.0,83.188,24.0,2010,59.188,True
Please Give,Sony,Comedy,88.0,62.0,4.309,3.0,2010,1.3090000000000002,True
Predators,Fox,Action,64.0,52.0,127.232,40.0,2010,87.232,True
Prince of Persia: The Sands of Time,Disney,Action,36.0,71.0,336.365,200.0,2010,136.365,False
Red,Summit,Action,71.0,72.0,199.006,58.0,2010,141.006,True
Remember Me,Summit,Drama,28.0,70.0,56.034,16.0,2010,40.034,False
Repo Men,Universal,Action,22.0,43.0,18.41,32.0,2010,-13.59,False
Resident Evil: Afterlife,Highlight Communications,Action,24.0,53.0,296.22,60.0,2010,236.22000000000003,False
Robin Hood,Universal,Action,42.0,59.0,321.669,200.0,2010,121.66899999999998,False
Salt,Sony,Action,62.0,62.0,293.502,110.0,2010,183.502,True
Saw 3-D,Independent,Crime,10.0,47.0,136.15,20.0,2010,116.15,False
Scott Pilgrim vs. the World,Universal,Action,81.0,83.0,47.66,60.0,2010,-12.340000000000003,True
Sex and the City 2,Warner Bros,Comedy,15.0,49.0,288.347,100.0,2010,188.34699999999998,False
She's Out of My League,Paramount,Comedy,57.0,60.0,49.778,20.0,2010,29.778,False
Shrek Forever After,Paramount,Animation,57.0,64.0,752.604,165.0,2010,587.604,False
Shutter Island,Paramount,Drama,68.0,73.0,294.802,80.0,2010,214.80200000000002,True
Skyline,Independent,Action,16.0,19.0,66.817,10.0,2010,56.81699999999999,False
Solitary Man,Independent,Comedy,81.0,47.0,5.178,15.0,2010,-9.822,True
Step Up 3D,Summit,Drama,46.0,67.0,159.291,30.0,2010,129.291,False
Stone,Independent,Drama,49.0,20.0,9.479,22.0,2010,-12.521,False
Takers,Sony,Action,27.0,57.0,69.05,32.0,2010,37.05,False
Tangled,Disney,Animation,89.0,88.0,591.794,260.0,2010,331.794,True
The A-Team,Fox,Action,47.0,71.0,177.236,100.0,2010,77.23599999999999,False
The American,Universal,Crime,66.0,37.0,67.875,20.0,2010,47.875,True
The Back-up Plan,CBS,Comedy,20.0,47.0,77.477,35.0,2010,42.477000000000004,False
The Book of Eli,Independent,Action,48.0,68.0,157.107,80.0,2010,77.107,False
The Bounty Hunter,Sony,Action,7.0,41.0,136.333,40.0,2010,96.333,False
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,Adventure,49.0,63.0,415.685,155.0,2010,260.685,False
The Crazies,Liberty Starz,Horror,72.0,54.0,54.803,20.0,2010,34.803,True
The Expendables,Independent,Action,40.0,58.0,274.469,82.0,2010,192.469,False
The Fighter,Paramount,Drama,91.0,88.0,129.154,25.0,2010,104.154,True
The Ghost Writer,Summit,Mystery,83.0,68.0,60.22,45.0,2010,15.219999999999999,True
The Joneses,Independent,Comedy,61.0,47.0,1.97,10.0,2010,-8.03,True
The Karate Kid,Sony,Action,66.0,75.0,359.12,40.0,2010,319.12,True
The Kids Are All Right,Independent,Comedy,94.0,72.0,34.704,4.0,2010,30.704,True
The King's Speech,Independent,Biography,95.0,93.0,414.204,15.0,2010,399.204,True
The Last Airbender,Paramount,Action,6.0,42.0,319.713,150.0,2010,169.71300000000002,False
The Last Exorcism,Independent,Drama,73.0,32.0,67.733,1.8,2010,65.933,True
The Last Song,Disney,Drama,19.0,66.0,89.04,20.0,2010,69.04,False
The Losers,Warner Bros,Action,47.0,55.0,29.38,25.0,2010,4.379999999999999,False
The Next Three Days,Lionsgate,Crime,51.0,66.0,67.45,30.0,2010,37.45,False
The Other Guys,Sony,Action,78.0,57.0,170.431,100.0,2010,70.43100000000001,True
The Runaways,Independent,Biography,68.0,56.0,4.677,10.0,2010,-5.323,True
The Social Network,Sony,Biography,96.0,89.0,224.919,50.0,2010,174.919,True
The Sorcerer's Apprentice,Disney,Action,42.0,57.0,215.28,150.0,2010,65.28,False
The Switch,Independent,Comedy,52.0,44.0,49.831,19.0,2010,30.831000000000003,False
The Tourist,Sony,Thriller,20.0,44.0,278.346,100.0,2010,178.346,False
The Town,Warner Bros,Crime,94.0,83.0,154.025,37.0,2010,117.025,True
The Twilight Saga: Eclipse,Summit,Drama,50.0,74.0,698.489,68.0,2010,630.489,False
The Wolfman,Universal,Drama,33.0,38.0,139.79,150.0,2010,-10.210000000000008,False
Tooth Fairy,Fox,Comedy,16.0,46.0,112.46,48.0,2010,64.46,False
Toy Story 3,Disney,Animation,99.0,91.0,1063.16,200.0,2010,863.1600000000001,True
Tron: Legacy,Independent,Action,50.0,67.0,400.062,170.0,2010,230.062,False
True Grit,Paramount,Adventure,96.0,86.0,252.273,38.0,2010,214.273,True
Unstoppable,Fox,Action,86.0,73.0,167.802,95.0,2010,72.80199999999999,True
Valentine's Day,Warner Bros,Comedy,17.0,54.0,216.485,52.0,2010,164.485,False
Vampires Suck,Independent,Comedy,4.0,32.0,80.546,20.0,2010,60.54600000000001,False
Wall Street: Money Never Sleeps,Independent,Drama,54.0,43.0,134.743,70.0,2010,64.743,False
Why Did I Get Married Too?,Lionsgate,Comedy,27.0,67.0,60.67,20.0,2010,40.67,False
Yogi Bear,Desconocido,Comedy,14.0,36.0,201.584,80.0,2010,121.584,False
You Again,Independent,Comedy,18.0,45.0,32.003,20.0,2010,12.003,False
You Will Meet a Tall Dark Stranger,Independent,Comedy,43.0,35.0,34.267,22.0,2010,12.267000000000003,False
Youth in Revolt,Weinstein,Comedy,68.0,52.0,19.649,18.0,2010,1.649000000000001,True
30 Minutes or Less,Independent,Comedy,43.0,48.0,40.55,28.0,2011,12.549999999999997,False
50/50,Independent,Comedy,93.0,93.0,39.19,8.0,2011,31.189999999999998,True
A Dangerous Method,Independent,Drama,79.0,89.0,27.46,20.0,2011,7.460000000000001,True
A Very Harold and Kumar Christmas,Lionsgate,Comedy,72.0,71.0,35.39,19.0,2011,16.39,True
Abduction,Vertigo,Action,4.0,46.0,82.09,35.0,2011,47.09,False
Anonymous,Relativity Media,Drama,46.0,66.0,15.39,30.0,2011,-14.61,False
Another Earth,Independent,Fantasy,63.0,74.0,1.77,0.2,2011,1.57,True
Apollo 18,Weinstein,Horror,23.0,31.0,25.56,5.0,2011,20.56,False
Arthur,Warner Bros,Comedy,26.0,49.0,45.74,40.0,2011,5.740000000000002,False
Arthur Christmas,Aardman Animations,Animation,92.0,82.0,147.41,150.0,2011,-2.5900000000000034,True
Average,Desconocido,Desconocido,55.0,62.0,175.0,57.0,2011,118.0,False
Bad Teacher,Independent,Comedy,44.0,38.0,216.2,20.0,2011,196.2,False
Battle: Los Angeles,Relativity Media,Action,35.0,50.0,211.82,70.0,2011,141.82,False
Beastly,CBS,Romance,19.0,50.0,43.17,17.0,2011,26.17,False
Beginners,Independent,Comedy,84.0,80.0,14.31,3.2,2011,11.11,True
Bridesmaids,Relativity Media,Comedy,90.0,77.0,288.38,32.5,2011,255.88,True
Captain America: The First Avenger,Disney,Action,78.0,75.0,370.57,140.0,2011,230.57,True
Cars 2,Pixar,Animation,38.0,56.0,559.85,200.0,2011,359.85,False
Cedar Rapids,Fox,Comedy,86.0,61.0,6.86,10.0,2011,-3.1399999999999997,True
Colombiana,Sony,Action,28.0,55.0,60.97,40.0,2011,20.97,False
Conan the Barbarian,Lionsgate,Action,22.0,34.0,48.8,90.0,2011,-41.2,False
Contagion,Warner Bros,Thriller,84.0,63.0,135.46,60.0,2011,75.46000000000001,True
Cowboys and Aliens,Universal,Action,44.0,50.0,174.82,163.0,2011,11.819999999999993,False
"Crazy, Stupid, Love",Warner Bros,Romance,78.0,81.0,142.85,50.0,2011,92.85,True
Diary of a Wimpy Kid 2: Rodrick Rules,Fox,Comedy,47.0,63.0,72.42,21.0,2011,51.42,False
Dolphin Tale,Independent,Drama,84.0,81.0,95.41,37.0,2011,58.41,True
Don't Be Afraid Of The Dark,Miramax,Horror,59.0,37.0,36.99,25.0,2011,11.990000000000002,False
Dream House,Morgan Creek,Horror,7.0,38.0,38.5,50.0,2011,-11.5,False
Drive,Independent,Thriller,93.0,79.0,76.17,15.0,2011,61.17,True
Drive Angry,Independent,Action,45.0,38.0,28.93,45.0,2011,-16.07,False
Dylan Dog: Dead of Night,Independent,Horror,6.0,28.0,4.63,20.0,2011,-15.370000000000001,False
Everything Must Go,Reliance,Drama,74.0,53.0,2.71,5.0,2011,-2.29,True
Extremely Loud and Incredibly Close,Warner Bros,Drama,47.0,62.0,55.247,40.0,2011,15.247,False
Fast Five,Universal,Action,78.0,83.0,626.13,125.0,2011,501.13,True
Final Destination 5,New Line,Horror,61.0,56.0,157.89,40.0,2011,117.88999999999999,True
Footloose,Spyglass Entertainment,Drama,71.0,71.0,63.54,24.0,2011,39.54,True
Friends With Benefits,Warner Bros,Romance,71.0,68.0,149.54,35.0,2011,114.53999999999999,True
Fright Night,DreamWorks,Horror,75.0,68.0,41.0,30.0,2011,11.0,True
Gnomeo and Juliet,Disney,Animation,56.0,52.0,193.97,36.0,2011,157.97,False
Green Lantern,Warner Bros,Action,27.0,48.0,219.85,200.0,2011,19.849999999999994,False
Hall Pass,Warner Bros,Comedy,35.0,44.0,83.16,36.0,2011,47.16,False
Hanna,Universal,Action,71.0,67.0,63.78,30.0,2011,33.78,True
Happy Feet 2,Village Roadshow,Animation,41.0,59.0,150.41,135.0,2011,15.409999999999997,False
Harry Potter and the Deathly Hallows Part 2,Warner Bros,Fantasy,96.0,92.0,1341.51,125.0,2011,1216.51,True
Hop,Relativity Media,Animation,26.0,50.0,183.95,63.0,2011,120.94999999999999,False
Horrible Bosses,Warner Bros,Comedy,69.0,72.0,209.64,35.0,2011,174.64,True
Hugo,Paramount,Adventure,93.0,84.0,185.769,150.0,2011,35.769000000000005,True
I Am Number Four,Paramount,Thriller,32.0,57.0,149.88,60.0,2011,89.88,False
Immortals,Relativity Media,Action,36.0,59.0,226.9,75.0,2011,151.9,False
In Time,Regency Enterprises,Thriller,38.0,55.0,173.93,40.0,2011,133.93,False
Insidious,Sony,Horror,67.0,65.0,97.01,1.5,2011,95.51,True
J.Edgar,Warner Bros,Drama,42.0,84.0,84.61,35.0,2011,49.61,False
Jack and Jill,Happy Madison,Comedy,4.0,59.0,149.68,79.0,2011,70.68,False
Johnny English Reborn,Relativity Media,Comedy,38.0,55.0,160.08,45.0,2011,115.08000000000001,False
Just Go With It,Happy Madison,Romance,19.0,63.0,214.95,80.0,2011,134.95,False
Killer Elite,Independent,Action,25.0,48.0,56.38,70.0,2011,-13.619999999999997,False
Kung Fu Panda 2,DreamWorks,Animation,82.0,80.0,665.69,150.0,2011,515.69,True
Larry Crowne,Universal,Drama,34.0,46.0,72.01,30.0,2011,42.010000000000005,False
Limitless,Virgin,Thriller,69.0,73.0,161.85,27.0,2011,134.85,True
Machine Gun Preacher,Lionsgate,Action,29.0,71.0,1.1,30.0,2011,-28.9,False
Margin Call,Independent,Thriller,86.0,73.0,19.5,3.5,2011,16.0,True
Mars Needs Moms,Disney,Animation,36.0,43.0,38.99,150.0,2011,-111.00999999999999,False
Midnight in Paris,Sony,Romance,93.0,84.0,151.12,17.0,2011,134.12,True
Mission Impossible 4,Paramount,Action,93.0,86.0,694.71,145.0,2011,549.71,True
Moneyball,Columbia,Drama,95.0,89.0,110.2,50.0,2011,60.2,True
Monte Carlo,Fox,Romance,38.0,50.0,39.67,20.0,2011,19.67,False
Mr. Popper's Penguins,Fox,Comedy,47.0,54.0,187.36,55.0,2011,132.36,False
My Week with Marilyn,Weinstein,Drama,83.0,84.0,35.06,10.0,2011,25.060000000000002,True
New Year's Eve,Warner Bros,Romance,8.0,48.0,142.04,56.0,2011,86.03999999999999,False
No Strings Attached,Spyglass Entertainment,Comedy,49.0,57.0,149.23,25.0,2011,124.22999999999999,False
One Day,Independent,Romance,37.0,54.0,59.39,15.0,2011,44.39,False
Our Idiot Brother,Weinstein,Comedy,68.0,79.0,24.82,5.0,2011,19.82,True
Paranormal Activity 3,Independent,Horror,68.0,58.0,207.04,5.0,2011,202.04,True
Paul,Relativity Media,Comedy,72.0,70.0,97.98,40.0,2011,57.980000000000004,True
Pirates of the Caribbean:On Stranger Tides,Disney,Action,34.0,61.0,1045.71,250.0,2011,795.71,False
Priest,Sony,Action,17.0,37.0,78.31,60.0,2011,18.310000000000002,False
Puss In Boots,DreamWorks,Animation,83.0,76.0,554.99,130.0,2011,424.99,True
Rango,Paramount,Animation,88.0,69.0,245.72,135.0,2011,110.72,True
Real Steel,DreamWorks,Action,58.0,81.0,299.27,110.0,2011,189.26999999999998,False
Red Riding Hood,Warner Bros,Horror,11.0,41.0,89.16,42.0,2011,47.16,False
Red State,Independent,Horror,57.0,59.0,1.1,4.0,2011,-2.9,False
Rio,Fox,Animation,71.0,73.0,484.63,90.0,2011,394.63,True
Rise of the Planet of the Apes,Fox,Action,83.0,87.0,481.74,93.0,2011,388.74,True
Sanctum,Relativity Media,Action,30.0,39.0,108.61,30.0,2011,78.61,False
Scream 4,Weinstein,Horror,58.0,57.0,97.14,40.0,2011,57.14,False
Season Of The Witch,Relativity Media,Action,10.0,32.0,91.63,40.0,2011,51.629999999999995,False
Shame,Independent,Drama,80.0,80.0,16.874,6.5,2011,10.373999999999999,True
Shark Night 3D,Relativity Media,Horror,16.0,25.0,40.14,25.0,2011,15.14,False
Sherlock Holmes 2,Warner Bros,Action,60.0,79.0,545.45,125.0,2011,420.45000000000005,True
Something Borrowed,Independent,Romance,52.0,61.0,60.18,35.0,2011,25.18,False
Soul Surfer,Sony,Drama,46.0,79.0,47.09,18.0,2011,29.090000000000003,False
Source Code,Summit,Thriller,92.0,81.0,147.33,32.0,2011,115.33000000000001,True
Spy Kids: All The Time in the World,Weinstein,Action,22.0,40.0,85.56,27.0,2011,58.56,False
Sucker Punch,Legendary Pictures,Action,23.0,48.0,89.79,82.0,2011,7.790000000000006,False
Super 8,Paramount,Horror,82.0,78.0,260.1,50.0,2011,210.10000000000002,True
Take Me Home Tonight,Relativity Media,Comedy,28.0,46.0,6.93,25.0,2011,-18.07,False
Take Shelter,Independent,Drama,92.0,85.0,3.13,5.0,2011,-1.87,True
The Adjustment Bureau,Independent,Thriller,72.0,67.0,127.87,50.2,2011,77.67,True
The Adventures of Tintin,Paramount,Adventure,74.0,78.0,373.993,130.0,2011,243.993,True
The Artist,Weinstein,Drama,97.0,91.0,133.432,16.0,2011,117.43199999999999,True
The Beaver,Summit,Drama,62.0,57.0,6.37,21.0,2011,-14.629999999999999,True
The Big Year,Independent,Comedy,38.0,62.0,7.45,41.0,2011,-33.55,False
The Change Up,Relativity Media,Comedy,24.0,53.0,75.45,52.0,2011,23.450000000000003,False
The Company Men,Weinstein,Drama,66.0,55.0,4.88,15.0,2011,-10.120000000000001,True
The Conspirator,Independent,Drama,56.0,65.0,15.48,25.0,2011,-9.52,False
The Debt,Universal,Thriller,76.0,70.0,45.64,20.0,2011,25.64,True
The Descendants,Fox,Drama,89.0,88.0,177.24,20.0,2011,157.24,True
The Dilemma,Spyglass Entertainment,Comedy,23.0,31.0,69.72,70.0,2011,-0.28000000000000114,False
The Eagle,Universal,Action,39.0,43.0,27.12,25.0,2011,2.120000000000001,False
The Girl With The Dragon Tattoo,Sony,Thriller,87.0,89.0,232.161,90.0,2011,142.161,True
The Green Hornet,Columbia,Action,44.0,47.0,227.82,120.0,2011,107.82,False
The Hangover Part II,Legendary Pictures,Comedy,35.0,58.0,586.76,80.0,2011,506.76,False
The Help,DreamWorks,Drama,75.0,91.0,216.64,25.0,2011,191.64,True
The Ides of March,Columbia,Thriller,85.0,76.0,75.99,12.5,2011,63.489999999999995,True
The Iron Lady,Weinstein,Drama,53.0,54.0,114.955,13.0,2011,101.955,False
The Lincoln Lawyer,Lionsgate,Drama,84.0,82.0,75.01,40.0,2011,35.010000000000005,True
The Mechanic,Independent,Action,53.0,52.0,51.07,40.0,2011,11.07,False
The Muppets,Disney,Comedy,97.0,87.0,165.18,45.0,2011,120.18,True
